dataset_id,subject_id,session_id,circuit_id,t_sec,dt_sec,spike_count,x_mtor_proxy,u_observer,condition,split
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,104.45,0.05,0,,-0.86159,102,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,105.2,0.05,0,,-0.86159,104,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,105.65,0.05,0,,-0.86159,44,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,105.9,0.05,0,,-0.542693,83,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,106.1,0.05,0,,1.051788,58,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,106.4,0.05,0,,-0.86159,34,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,107.15,0.05,0,,1.051788,107,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,107.5,0.05,0,,1.325128,108,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,109.0,0.05,0,,0.231769,43,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,109.2,0.05,0,,0.573444,112,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,110.3,0.05,2,,1.051788,114,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,110.5,0.05,1,,6.154129,60,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,110.9,0.05,0,,-0.383245,116,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,111.05,0.05,0,,-0.383245,116,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,111.1,0.05,0,,-0.223797,117,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,111.85,0.05,0,,2.965166,119,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,111.9,0.05,2,,2.965166,119,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,113.6,0.05,0,,0.095099,123,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,114.6,0.05,1,,-0.041571,126,train
